#{"t_start": 1790246131.521974, "env_id": "LunarLander-v3"}
r,l,t
-195.800731,271,27.722292
-267.967766,1000,29.019538
-303.516159,1000,29.444667
-18.63965,178,30.384695
-72.350805,209,30.495778
-316.528966,468,30.790906
-60.408583,199,30.915176
-306.498435,1000,31.427121
-241.064973,218,32.521166
-87.893426,260,32.670237
-43.72127,187,32.782478
-25.983379,168,32.881989
-38.818949,179,32.978632
-58.40944,135,33.050232
-25.089596,144,33.121321
-121.469917,223,33.234462
-92.326574,322,33.401511
-170.092551,379,34.569186
-195.214564,297,34.738896
12.878119,178,34.833138
-227.192088,1000,35.376723
-224.759963,398,35.555627
-255.647001,1000,36.894375
-275.346608,1000,37.366092
-72.454767,268,38.300714
-519.084408,936,38.763742
-202.085929,350,38.926916
-245.983205,1000,40.177565
-55.932057,227,40.270164
-170.859404,342,40.412624
-355.604832,1000,40.906283
-257.984319,1000,42.322436
-113.055782,293,42.443243
-96.010359,294,42.577018
-117.825847,269,42.696798
-227.13107,1000,44.079509
-59.299461,152,44.170228
13.529398,193,44.259893
-199.743346,1000,44.744903
-134.014887,240,45.85776
-117.344654,301,46.02661
-52.73822,230,46.136815
-185.406846,1000,46.664421
-266.064835,1000,48.051595
-82.867706,254,48.171299
-238.668152,1000,48.679091
-327.302181,364,49.83565
-158.446306,348,50.013316
-171.779448,295,50.133651
4.542388,147,50.197049
-143.68286,253,50.292265
-138.078226,285,50.389946
-209.476721,1000,51.643943
-324.650827,1000,52.137186
-145.059082,401,52.310047
-224.005701,1000,53.721394
-226.866674,1000,54.104002
-242.955181,376,55.087655
-196.334719,276,55.218125
-168.419255,351,55.353733
-218.592802,1000,55.724663
-137.285939,287,56.661371
-359.333386,624,56.921348
-297.227931,528,57.110065
-211.291816,1000,58.274053
-257.976755,398,58.439304
-379.447657,617,58.658233
-153.919445,232,58.758665
-202.864359,324,58.881667
-197.351864,1000,60.048127
-305.702686,434,60.205668
-232.539956,394,60.348948
-149.325066,454,60.515488
-34.19339,577,61.460312
-338.036002,604,61.673902
-242.840881,1000,62.813134
-212.932261,454,63.016709
-140.458066,837,63.355692
-228.296786,365,63.484065
-267.539428,1000,64.653382
-196.923068,315,64.767888
-240.700678,468,64.937755
-211.409731,316,65.042657
-208.671122,332,65.970104
-220.494117,1000,66.375839
-175.375952,467,66.548631
-168.055812,1000,67.703346
-220.023617,1000,68.08627
-66.407747,640,69.118891
-205.812672,367,69.282862
-227.705498,1000,69.670805
-58.190071,859,70.765873
-11.933013,613,70.992866
-157.954354,365,71.117629
-150.985655,200,71.193269
-139.866545,262,71.288638
-165.369537,260,71.380788
15.646397,589,72.397604
96.377221,467,72.564505
-214.344239,338,72.688819
101.176025,447,72.844066
-242.150813,565,73.858071
-132.168282,276,73.978858
96.297493,378,74.115014
78.877437,410,74.269004
-295.631921,552,74.462128
63.430736,470,75.448192
-111.303013,287,75.562428
-187.827035,412,75.717731
64.447823,446,75.88986
-182.420952,355,76.018668
109.318107,407,76.961409
-17.609747,728,77.2487
63.37365,469,77.419466
43.072377,431,77.579615
-121.119382,314,78.449424
-9.792226,591,78.704327
-140.95949,226,78.789691
-204.693921,372,78.921186
-241.565371,366,79.048885
-233.918045,359,79.192106
-323.827887,1000,80.317903
